"금속가공제품",136.56,137.19,137.15,136.60,136.60,135.98
"금속가공제품",136.56,137.19,137.15,136.60,136.60,135.98
"구조용금속제품및탱크",158.24,159.74,159.02,158.58,158.46,157.78
"건축용금속제품",163.29,163.81,162.98,162.33,162.19,161.28
"금속제탱크및압력용기",141.02,140.54,140.54,140.54,140.54,140.54
"산업용보일러및증기발생기",133.22,142.19,141.40,141.65,141.65,141.65
"금속단조,야금및압형제품",111.66,111.66,111.66,111.66,111.96,112.56
"금속단조및야금제품",113.73,113.73,113.69,113.69,114.63,114.63
"금속압형제품",110.27,110.27,110.27,110.27,110.27,111.15
"기타금속가공제품",130.53,130.57,131.26,130.26,130.22,128.89
"가정용금속제품",132.23,132.23,132.24,132.07,132.07,132.07
"부착용금속제품",129.68,129.70,130.01,130.02,129.59,129.67
"공구류",123.94,123.94,123.94,123.94,123.94,123.94
"나사및철선제품",128.68,128.68,128.68,128.04,128.04,124.90
"금속포장용기",135.43,135.63,138.90,134.53,134.53,133.59
"기타금속제품",136.22,136.22,136.98,136.98,137.12,137.12
"컴퓨터,전자및광학기기",97.75,97.85,98.73,98.01,97.25,96.98
"반도체",97.01,97.80,100.00,98.79,97.50,95.79
"반도체",97.01,97.80,100.00,98.79,97.50,95.79
"개별소자",105.90,105.90,106.01,105.36,105.13,104.15
"집적회로",88.88,89.89,92.68,91.34,89.77,87.91
"전자표시장치",92.37,92.48,92.54,90.70,89.76,90.12
"전자표시장치",92.37,92.48,92.54,90.70,89.76,90.12
"LCD평판디스플레이",96.82,97.33,97.79,96.64,95.66,96.04
"기타전자표시장치",82.53,82.25,81.94,79.57,78.72,79.02
"기타전자부품",116.44,116.81,116.97,116.88,115.82,115.56
"인쇄회로기판",105.67,105.87,105.50,105.12,104.30,103.74
"인쇄회로기판및실장기판",105.67,105.87,105.50,105.12,104.30,103.74
"기타전자부품",127.28,127.83,128.50,128.69,127.40,127.40
"축전기,저항기,전자코일및변성기",122.78,124.63,125.27,125.86,125.38,125.41
"기타전자부품",129.89,129.95,130.65,130.70,129.09,129.09
"컴퓨터및주변기기",96.61,96.61,96.31,96.31,96.31,94.66
"컴퓨터및주변기기",96.61,96.61,96.31,96.31,96.31,94.66
"컴퓨터",97.97,97.97,97.37,97.37,97.37,97.37
"컴퓨터기억장치",84.24,84.24,84.24,84.24,84.24,75.50
"컴퓨터주변기기",98.53,98.53,98.53,98.53,98.53,98.53
"통신,방송및영상,음향기기",79.36,79.41,79.87,79.76,79.15,79.06
"통신및방송장비",74.27,74.34,74.93,74.79,74.03,73.91
"유선통신기기",131.47,131.47,131.47,131.47,131.47,131.47
"이동전화기",61.06,61.15,62.03,61.97,61.00,60.71
"기타무선통신장비및방송장비",105.19,105.22,105.03,104.54,104.04,104.50
"영상및음향기기",100.29,100.29,100.26,100.23,100.21,100.24
"TV",99.25,99.25,99.25,99.25,99.25,99.25
"영상기기",98.55,98.55,98.21,98.00,97.87,98.05
"오디오및음향기기",101.75,101.75,101.84,101.84,101.84,101.85
"정밀기기",113.57,113.02,115.08,115.09,114.90,114.87
"의료및측정기기",115.33,114.65,117.24,117.25,117.01,116.99
"의료용기기",102.47,102.47,102.59,102.59,102.33,102.16
"측정및분석기기",118.66,118.68,123.79,123.81,123.73,123.79
"자동조정및제어기기",125.04,121.95,122.45,122.50,121.95,121.95
"기타정밀기기",105.46,105.56,105.21,105.20,105.19,105.19
"사진기및영사기",109.38,109.37,109.19,109.18,109.16,109.16
"기타광학기기",97.73,98.01,97.35,97.35,97.35,97.35
"전기장비",126.04,126.06,126.09,123.62,123.69,124.37
"전기장비",126.04,126.06,126.09,123.62,123.69,124.37
"발전기및전동기",116.48,116.48,116.64,116.64,116.64,117.07
"발전기및전동기",116.48,116.48,116.64,116.64,116.64,117.07
"전기변환.공급제어장치",113.44,114.32,115.73,117.77,117.67,117.79
"변압기",160.29,164.60,164.28,165.91,166.10,166.10
"전기변환장치",120.18,120.18,122.20,122.36,122.36,123.22
"전기회로개폐및접속장치",108.18,108.34,108.36,110.94,110.91,110.90
"배전반및전기자동제어반",102.56,103.36,106.11,108.50,108.25,108.25
"전지",135.71,135.86,135.86,122.37,122.31,122.39
"전지",135.71,135.86,135.86,122.37,122.31,122.39
"전선및케이블",180.42,178.30,174.76,168.72,169.60,174.46
"전선및케이블",180.42,178.30,174.76,168.72,169.60,174.46
"가정용전기기기",104.66,104.69,104.88,104.91,104.94,104.93
"가정용냉장고및냉동고",99.89,99.89,99.89,99.89,99.89,99.89
"주방용및난방용전기기기",109.22,109.09,109.13,109.25,109.27,109.21
"기타가정용전기기기",104.38,104.49,104.81,104.81,104.88,104.88
"기타전기장비",117.87,117.94,118.17,118.33,118.31,118.48
"전구및램프",102.71,102.71,103.49,103.49,103.49,103.05
