"아시아",파키스탄,10.419 (annual %),6.308 (annual growth as % of broad money),7.911 (annual growth as % of broad money),5.752 (%),8.666 (%),-1.452 (%),7.412 (annual %),5.510 (annual growth as % of broad money),15.334 (annual growth as % of broad money),-,-,-,16.253 (annual %),1.484 (annual growth as % of broad money),21.511 (annual growth as % of broad money),-,-,-
"아시아",필리핀,7.980 (annual %),2.858 (annual growth as % of broad money),4.156 (annual growth as % of broad money),-,-,-,7.820 (annual %),6.599 (annual growth as % of broad money),4.458 (annual growth as % of broad money),-,-,-,-,4.993 (annual growth as % of broad money),3.394 (annual growth as % of broad money),-,-,-
"아시아",카타르,1.436 (annual %),16.675 (annual growth as % of broad money),0.230 (annual growth as % of broad money),1.878 (%),3.851 (%),-15.200 (%),17.417 (annual %),13.387 (annual growth as % of broad money),-3.753 (annual growth as % of broad money),2.623 (%),4.562 (%),-16.936 (%),1.144 (annual %),6.909 (annual growth as % of broad money),0.434 (annual growth as % of broad money),5.008 (%),6.449 (%),-
"아시아",싱가포르,-,-,-,0.122 (%),5.250 (%),-4.547 (%),-,-,-,-,-,-,-,-,-,-,-,-
"아시아",타지키스탄,8.179 (annual %),-3.141 (annual growth as % of broad money),-0.632 (annual growth as % of broad money),-,-,-,-7.561 (annual %),5.835 (annual growth as % of broad money),-6.078 (annual growth as % of broad money),-,-,-,50.645 (annual %),16.143 (annual growth as % of broad money),0.187 (annual growth as % of broad money),-,-,-
"아시아",태국,4.805 (annual %),4.073 (annual growth as % of broad money),5.064 (annual growth as % of broad money),0.406 (%),3.060 (%),1.267 (%),3.876 (annual %),3.198 (annual growth as % of broad money),1.061 (annual growth as % of broad money),0.510 (%),3.138 (%),-1.555 (%),1.950 (annual %),2.122 (annual growth as % of broad money),1.828 (annual growth as % of broad money),1.374 (%),4.286 (%),3.029 (%)
"아시아",동티모르,28.288 (annual %),1.526 (annual growth as % of broad money),-8.981 (annual growth as % of broad money),0.639 (%),11.160 (%),-30.100 (%),8.605 (annual %),9.353 (annual growth as % of broad money),-17.323 (annual growth as % of broad money),0.605 (%),11.004 (%),-0.315 (%),2.709 (annual %),6.939 (annual growth as % of broad money),10.945 (annual growth as % of broad money),0.599 (%),10.725 (%),35.478 (%)
"아시아",튀르키예,52.518 (annual %),38.520 (annual growth as % of broad money),8.936 (annual growth as % of broad money),20.700 (%),-,-,60.339 (annual %),52.605 (annual growth as % of broad money),17.848 (annual growth as % of broad money),27.041 (%),-,-,69.936 (annual %),54.799 (annual growth as % of broad money),12.249 (annual growth as % of broad money),51.325 (%),-,-
"아시아",아랍에미리트,5.709 (annual %),2.160 (annual growth as % of broad money),-0.660 (annual growth as % of broad money),-,-,-,8.995 (annual %),3.584 (annual growth as % of broad money),-8.330 (annual growth as % of broad money),-,-,-,18.771 (annual %),7.204 (annual growth as % of broad money),-3.048 (annual growth as % of broad money),-,-,-
"아시아",우즈베키스탄,29.678 (annual %),46.038 (annual growth as % of broad money),-0.067 (annual growth as % of broad money),16.318 (%),21.423 (%),6.939 (%),30.175 (annual %),48.991 (annual growth as % of broad money),-9.054 (annual growth as % of broad money),17.726 (%),21.746 (%),5.950 (%),12.164 (annual %),49.549 (annual growth as % of broad money),3.651 (annual growth as % of broad money),18.017 (%),22.150 (%),8.836 (%)
"아시아",베트남,9.676 (annual %),-,-0.370 (annual growth as % of broad money),3.375 (%),7.811 (%),4.792 (%),5.679 (annual %),-,-1.894 (annual growth as % of broad money),3.818 (%),8.013 (%),3.808 (%),-,-,-,4.781 (%),9.323 (%),7.278 (%)
"북아메리카",멕시코,9.508 (annual %),3.444 (annual growth as % of broad money),4.786 (annual growth as % of broad money),0.852 (%),5.266 (%),0.698 (%),7.324 (annual %),7.793 (annual growth as % of broad money),3.834 (annual growth as % of broad money),2.573 (%),8.179 (%),1.632 (%),11.018 (annual %),3.204 (annual growth as % of broad money),4.417 (annual growth as % of broad money),4.769 (%),11.592 (%),6.798 (%)
